# ID_1        photz   SED   chisq       RA            Dec          rflux      f814w     f105w        f140w          ch1      ech1       
  9.000117    1.03    8     22.06       175.6914919   15.4639586   0.0        0.0       0.33158904   0.33425674     0.0      1.4258538  
  9.000118    0.93    8     86.44       175.7053012   15.4638724   0.0        0.38307   0.7562061    0.6981041      0.0      1.4258538  
  9.000119    0.95    1     60.01       175.6742174   15.4636883   0.0        0.0       0.84217083   1.2399386      0.0      1.4258538  
  9.000120    0.92    7     430.97      175.6741369   15.4633765   1.7201     2.5316    5.325007     7.7739224      26.904   1.4259     
  9.000121    0.13    8     1316.7      175.7071193   15.4634248   11.569     16.561    20.451265    24.694498      14.433   1.4259     
  9.000122    0.83    8     19.29       175.6795355   15.4636857   0.0        0.36161   0.2144866    0.18287747     0.0      1.4258538  
  9.000123    0.89    8     171.57      175.692545    15.4635218   0.0        0.0       1.2896748    1.651354       0.0      1.4258538  
  9.000124    0.94    8     8.75        175.6786885   15.4635458   0.0        0.0       0.2435792    0.2799756      0.0      1.4258538  
  9.000125    1.0     2     24.17       175.69644     15.4634464   0.0        0.0       0.7289877    1.2072583      0.0      1.4258538  
  9.000126    1.22    7     76.67       175.6754399   15.4632995   0.2411     0.43279   1.3558142    2.831915       0.0      1.4258538  
  9.000127    1.33    2     21.2        175.7081111   15.463283    0.0        0.0       0.5572373    1.2765568      0.0      1.4258538  
  9.000128    0.91    8     1060.2      175.6689379   15.4631849   0.0        0.0       1.3550652    0.62834793     0.0      1.4258538  
  9.000129    1.0     8     121.7       175.6690197   15.4628475   0.0        0.0       0.7055376    0.6482764      0.0      1.4258538  
  9.000130    1.04    8     77.91       175.6928247   15.4637957   0.33037    0.43877   1.4965119    1.7217107      0.0      1.4258538  
  9.000131    0.73    8     21.94       175.6905259   15.4631631   0.19641    0.0       0.27938312   0.23295937     0.0      1.4258538  
  9.000132    0.93    1     7.43        175.6712065   15.4631377   0.0        0.0       0.28134564   0.3975577      0.0      1.4258538  
  9.000133    1.27    5     505.53      175.6885932   15.4628257   0.61049    0.66277   5.482772     11.135769      51.608   1.4259     
  9.000134    0.97    8     160.96      175.7017746   15.4630027   0.0        0.0       0.7536335    0.6058989      0.0      1.4258538  
  9.000135    0.96    8     54.83       175.698525    15.4630131   0.0        0.0       0.41767663   0.31180292     0.0      1.4258538  
  9.000136    1.09    0     375.33      175.6740272   15.462791    0.0        0.0       2.9260395    5.1970897      26.904   1.4259     
  9.000137    1.0     4     86.81       175.7012705   15.4628875   0.34082    0.0       0.8649683    0.8663237      0.0      1.4258538  
  9.000138    1.05    1     10.34       175.6933877   15.4628812   0.0        0.0       0.39613223   0.67589647     0.0      1.4258538  
  9.000139    1.07    8     117.36      175.7031215   15.4627538   0.50503    0.84062   3.128385     4.345905       8.6518   1.4259     
  9.000140    0.99    8     111.88      175.700929    15.4627991   0.0        0.0       0.6588707    0.57237434     0.0      1.4258538  
  9.000141    1.09    8     71.32       175.6865079   15.4627443   0.30186    0.0       1.0965797    1.5452551      0.0      1.4258538  
  9.000142    0.98    8     14.75       175.7061587   15.4627278   0.0        0.0       0.2378374    0.2044938      0.0      1.4258538  
  9.000143    0.2     1     46.87       175.7074915   15.4624887   2.9295     4.5629    7.0488815    9.000781       0.0      1.4258538  
  9.000144    1.0     8     31.87       175.6784752   15.4630699   0.0        0.0       0.3614433    0.3331196      0.0      1.4258538  
  9.000145    0.97    8     26.46       175.7041023   15.462678    0.0        0.0       0.30636573   0.2472636      0.0      1.4258538  
