# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000511   175.6776008  +15.4439479    0.43   24.90  0.071     0.75     166
09.000422   175.6714265  +15.4500666    1.06   99.00  0.305     0.96     166
09.000441   175.7075830  +15.4488817    1.05   99.00  0.320     1.15     166
09.000434   175.6927940  +15.4490938    0.55   99.00  0.170     0.31     166
09.000375   175.7103014  +15.4517779    1.18   99.00  0.328     1.29     165
09.000304   175.6946950  +15.4550544    0.90   99.00  0.220     0.45     165
09.000266   175.6809004  +15.4562965    1.03   99.00  0.233     0.50     165
09.000491   175.6917164  +15.4457210    0.96   99.00  0.204     0.40     165
09.000241   175.6996354  +15.4572355    1.02   99.00  0.280     0.76     165
09.000343   175.6785538  +15.4531938    0.95   99.00  0.244     0.55     165
09.000481   175.6851569  +15.4461447    1.11   99.00  0.182     0.35     163
09.000101   175.6982845  +15.4654354    1.06   99.00  0.305     1.03     163
09.000445   175.6965229  +15.4486210    0.93   99.00  0.233     0.52     163
09.000125   175.6964400  +15.4634464    1.00   99.00  0.288     0.88     162
09.000268   175.6887517  +15.4563718    0.72   99.00  0.156     0.30     162
09.000289   175.6987919  +15.4556591    1.00   99.00  0.261     0.68     162
09.000592   175.6806111  +15.4387333    1.03   99.00  0.285     0.87     161
09.000312   175.7018464  +15.4548449    1.02   99.00  0.280     0.83     161
09.000398   175.7097228  +15.4508740    1.38   99.00  0.312     1.26     160
09.000222   175.6828467  +15.4583591    1.07   99.00  0.222     0.51     160
09.000377   175.6966579  +15.4517510    0.99   99.00  0.219     0.51     159
09.000502   175.6800275  +15.4459951    0.91   99.00  0.224     0.56     156
09.000549   175.6893320  +15.4407744    1.05   99.00  0.239     0.64     155
09.000367   175.6825726  +15.4522378    0.48   99.00  0.144     0.31     155
09.000433   175.7085303  +15.4490404    1.20   99.00  0.296     1.20     155
09.000558   175.7129487  +15.4403597    0.49   24.77  0.078     1.59     153
09.000157   175.6902217  +15.4620340    1.07   99.00  0.235     0.65     153
09.000394   175.6978321  +15.4511204    1.17   99.00  0.218     0.57     152
09.000319   175.6991389  +15.4544143    0.97   99.00  0.236     0.67     152
09.000320   175.7048364  +15.4543283    0.98   99.00  0.273     0.99     152
09.000221   175.6809719  +15.4583792    0.97   99.00  0.218     0.58     152
09.000141   175.6865079  +15.4627443    1.09   99.00  0.233     0.69     150
09.000479   175.6972444  +15.4464193    1.02   99.00  0.219     0.62     149
09.000400   175.6771940  +15.4507393    1.01   99.00  0.220     0.62     149
09.000217   175.6858260  +15.4585013    1.21   99.00  0.178     0.44     149
09.000536   175.6968944  +15.4423930    0.45   24.24  0.058     0.75     148
09.000281   175.6776683  +15.4559421    0.93   99.00  0.222     0.65     148
09.000153   175.6924880  +15.4619046    0.92   99.00  0.227     0.68     148
09.000593   175.6963865  +15.4386222    0.16   24.16  0.062     0.91     147
09.000393   175.6959782  +15.4512272    0.95   99.00  0.179     0.47     147
09.000436   175.6994311  +15.4489307    1.14   99.00  0.224     0.68     147
09.000537   175.6937269  +15.4423435    1.03   99.00  0.216     0.64     146
09.000514   175.6904581  +15.4439057    0.91   99.00  0.179     0.47     146
09.000022   175.6851871  +15.4697974    1.15   99.00  0.269     1.12     146
09.000374   175.7037954  +15.4518095    0.96   99.00  0.252     0.92     146
09.000399   175.7024091  +15.4508202    0.97   99.00  0.243     0.84     146
09.000482   175.6850193  +15.4459860    0.49   99.00  0.143     0.37     146
09.000336   175.7012242  +15.4535845    0.93   99.00  0.234     0.78     145
09.000210   175.6889352  +15.4588998    0.50   99.00  0.171     0.45     145
09.000325   175.6985375  +15.4540560    0.89   99.00  0.210     0.63     144
09.000150   175.6767744  +15.4623825    1.19   99.00  0.248     0.92     144
09.000427   175.6762607  +15.4497211    0.43   23.82  0.052     0.68     143
09.000548   175.6935466  +15.4410706    0.92   99.00  0.216     0.70     142
09.000193   175.6838784  +15.4597642    0.87   99.00  0.189     0.55     142
09.000284   175.7014647  +15.4557173    0.93   99.00  0.232     0.82     142
09.000227   175.6972263  +15.4580801    1.15   99.00  0.209     0.67     141
09.000160   175.6945378  +15.4619543    1.04   99.00  0.219     0.74     141
09.000534   175.6831187  +15.4426178    1.20   99.00  0.195     0.60     141
09.000540   175.6911960  +15.4420524    0.93   99.00  0.194     0.59     141
09.000309   175.6994908  +15.4549383    0.89   99.00  0.213     0.70     141
09.000307   175.6943595  +15.4550153    0.49   99.00  0.153     0.43     141
09.000440   175.6788747  +15.4490056    0.90   99.00  0.182     0.54     140
09.000582   175.6842791  +15.4393089    1.04   99.00  0.219     0.75     140
